Title,Year,Rating,Content Rating
" Three Billboards Outside Ebbing, Missouri",2017,8.1,15
 The Bridge on the River Kwai,1957,8.1,PG
 Trainspotting,1996,8.1,18
 The Wild Robot,2024,8.2,U
 Catch Me If You Can,2002,8.1,12A
 Raging Bull,1980,8.1,X
 Fargo,1996,8.1,18
 Warrior,2011,8.1,12A
 Harry Potter and the Deathly Hallows: Part 2,2011,8.1,12A
 Gran Torino,2008,8.1,15
 Million Dollar Baby,2004,8.1,12A
 My Neighbour Totoro,1988,8.1,U
 Mad Max: Fury Road,2015,8.1,15
 Ben-Hur,1959,8.1,PG
 Spider-Man: No Way Home,2021,8.2,12A
 Barry Lyndon,1975,8.1,PG
 Children of Heaven,1997,8.2,PG
 Dead Poets Society,1989,8.1,PG
 12 Years a Slave,2013,8.1,15
 Before Sunrise,1995,8.1,15
 Blade Runner,1982,8.1,AA
 The Grand Budapest Hotel,2014,8.1,15
 Hacksaw Ridge,2016,8.1,15
 Gone Girl,2014,8.1,18
 Memories of Murder,2003,8.1,15
 Ratatouille,2007,8.1,PG
 In the Name of the Father,1993,8.1,15
" Monsters, Inc",2001,8.1,U
 The Gold Rush,1925,8.1,U
 How to Train Your Dragon,2010,8.1,PG
 Wild Tales,2014,8.1,15
 I'm Still Here,2024,8.3,15
 Sherlock Jr,1924,8.2,U
 Jaws,1975,8.1,PG
 Mary and Max,2009,8.1,12A
 The Deer Hunter,1978,8.1,X
 The General,1926,8.1,U
 Le Mans '66,2019,8.1,12A
 The Wages of Fear,1953,8.1,PG
 On the Waterfront,1954,8.1,PG
 Mr. Smith Goes to Washington,1939,8.1,U
 Wild Strawberries,1957,8.1,PG
 Logan,2017,8.1,15
 Rocky,1976,8.1,PG
 The Third Man,1949,8.1,PG
 Tokyo Story,1953,8.1,U
 Maharaja,2024,8.4,15
 The Big Lebowski,1998,8.1,18
 Spotlight,2015,8.1,15
 The Terminator,1984,8.1,18
 The Seventh Seal,1957,8.1,PG
 Room,2015,8.1,15
 Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,12A
 Jai Bhim,2021,8.7,Not Rated
 La haine,1995,8.1,15
 Hotel Rwanda,2004,8.1,12A
 Platoon,1986,8.1,15
 The Best Years of Our Lives,1946,8.1,U
 Before Sunset,2004,8.1,15
 The Exorcist,1973,8.1,X
 The Passion of Joan of Arc,1928,8.1,PG
 The Wizard of Oz,1939,8.1,A
 The Sound of Music,1965,8.1,U
 The Incredibles,2004,8,PG
 Rush,2013,8.1,15
 Hachi: A Dog's Tale,2009,8.1,U
 Stand by Me,1986,8.1,15
 My Father and My Son,2005,8.2,PG
 Network,1976,8.1,AA
 The Handmaiden,2016,8.1,18
 The Iron Giant,1999,8.1,PG
 To Be or Not to Be,1942,8.1,U
 The Battle of Algiers,1966,8.1,X
 The Grapes of Wrath,1940,8.1,PG
 A Silent Voice,2016,8.1,PG
 Into the Wild,2007,8,15
 Groundhog Day,1993,8,PG
 The Help,2011,8.1,12A
 Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,8.5,Not Rated
 Amores perros,2000,8,18
 Rebecca,1940,8.1,PG
